id_aluno,curso_id,prova_1,prova_2,trabalho,projeto,horas_estudo,periodo_letivo,metas_alcancadas,comportamento_frequencia
1021,3,7.8,5.7,8.1,9.7,28,SEM_2023-2,Quiz:OK;Trabalho:OK,Freq:95%|Part:BOM
1022,2,9.1,6.2,7,6.1,30,SEM_2025-2,Quiz:Pendente;Trabalho:Pendente,Freq:80%|Part:RUIM
1023,1,8.3,4,10,6.1,8,SEM_2023-2,Quiz:OK;Trabalho:OK,Freq:90%|Part:REGULAR
1024,5,7.7,6.2,5.5,9.3,11,SEM_2023-2,Quiz:Pendente;Trabalho:Pendente,Freq:80%|Part:RUIM
1025,4,8.3,7.2,6.1,9.1,28,SEM_2024-1,Quiz:OK;Trabalho:OK;Projeto:OK,Freq:80%|Part:RUIM
1026,5,5.9,5,6.6,6.8,3,SEM_2025-1,Quiz:OK;Trabalho:OK;Projeto:OK,Freq:80%|Part:RUIM
1027,4,6.2,7.6,5.7,6.3,4,SEM_2024-2,Quiz:OK;Trabalho:Pendente,Freq:100%|Part:EXCELENTE
1028,5,5.4,5.8,6.4,5.6,15,SEM_2023-2,Quiz:OK;Trabalho:Pendente,Freq:90%|Part:REGULAR
1029,5,5.8,7.8,8.9,9.9,28,SEM_2024-2,Quiz:OK;Trabalho:OK;Projeto:OK,Freq:95%|Part:BOM
1030,5,7.8,4.2,7.6,9.2,17,SEM_2024-1,Quiz:Pendente;Trabalho:Pendente,Freq:100%|Part:EXCELENTE
1031,4,4.6,9.3,5.2,9.5,24,SEM_2025-1,Quiz:OK;Trabalho:OK;Projeto:OK,Freq:80%|Part:RUIM
1032,4,6.6,4.1,9.9,7.6,14,SEM_2025-1,Quiz:OK;Trabalho:OK;Projeto:OK,Freq:90%|Part:REGULAR
1033,5,6.6,4.8,8.1,5.6,5,SEM_2024-2,Quiz:OK;Trabalho:OK,Freq:100%|Part:EXCELENTE
1034,2,7,NA,5.3,5.3,29,SEM_2024-1,Quiz:Pendente;Trabalho:Pendente,Freq:90%|Part:REGULAR
1035,3,6.6,4.3,8.3,6.7,24,SEM_2024-1,Quiz:OK;Trabalho:OK;Projeto:OK,Freq:80%|Part:RUIM
1036,3,5.9,8.3,6.9,9.6,20,SEM_2024-1,Quiz:OK;Trabalho:OK;Projeto:OK,Freq:90%|Part:REGULAR
1037,3,6.6,9.8,5.7,9.7,19,SEM_2023-1,Quiz:OK;Trabalho:OK;Projeto:OK,Freq:100%|Part:EXCELENTE
1038,4,9.4,9.2,7.8,9.2,22,SEM_2023-2,Quiz:OK;Trabalho:OK;Projeto:OK,Freq:90%|Part:REGULAR
1039,4,9.7,8.3,8.6,5.8,8,SEM_2024-1,Quiz:Pendente;Trabalho:Pendente,Freq:100%|Part:EXCELENTE
1040,2,7,9.8,8.4,7.1,30,SEM_2024-2,Quiz:Pendente;Trabalho:Pendente,Freq:90%|Part:REGULAR
1041,3,7.7,6.6,6.2,6.2,15,SEM_2025-2,Quiz:OK;Trabalho:OK;Projeto:OK,Freq:95%|Part:BOM
1042,3,4.7,9.2,7.6,6,14,SEM_2025-2,Quiz:OK;Trabalho:OK;Projeto:OK,Freq:80%|Part:RUIM
1043,5,5.9,6.1,7.7,8.4,17,SEM_2023-1,Quiz:OK;Trabalho:OK,Freq:90%|Part:REGULAR
1044,4,6.5,9.6,8.6,7.4,19,SEM_2023-2,Quiz:Pendente;Trabalho:Pendente,Freq:95%|Part:BOM
1045,3,9.2,4.9,6.8,6.6,21,SEM_2024-1,Quiz:Pendente;Trabalho:Pendente,Freq:90%|Part:REGULAR
1046,2,5.5,9.6,9,5.5,14,SEM_2024-1,Quiz:OK;Trabalho:Pendente,Freq:90%|Part:REGULAR
1047,2,6.9,9,8.1,7.7,9,SEM_2024-2,Quiz:OK;Trabalho:OK,Freq:100%|Part:EXCELENTE
1048,3,9.9,9.1,5.2,6.7,5,SEM_2024-1,Quiz:OK;Trabalho:Pendente,Freq:80%|Part:RUIM
1049,4,7.1,4.7,7.7,7,7,SEM_2024-1,Quiz:Pendente;Trabalho:Pendente,Freq:95%|Part:BOM
1050,2,7.7,7.6,9.3,6.6,25,SEM_2025-2,Quiz:Pendente;Trabalho:Pendente,Freq:90%|Part:REGULAR
1051,5,4.7,4.1,7.8,6.9,29,SEM_2024-1,Quiz:OK;Trabalho:OK,Freq:95%|Part:BOM
1052,2,9,8.3,5.9,7.8,19,SEM_2023-2,Quiz:OK;Trabalho:OK,Freq:80%|Part:RUIM
1053,1,7.6,4,7.6,5.1,25,SEM_2024-1,Quiz:OK;Trabalho:Pendente,Freq:100%|Part:EXCELENTE
1054,1,7.3,4.5,8.8,9.2,18,SEM_2025-1,Quiz:Pendente;Trabalho:Pendente,Freq:90%|Part:REGULAR
1055,4,6.1,5.4,5.6,9.6,21,SEM_2024-2,Quiz:OK;Trabalho:Pendente,Freq:80%|Part:RUIM
1056,3,5.8,9.3,9.1,7.8,14,SEM_2024-2,Quiz:OK;Trabalho:OK;Projeto:OK,Freq:100%|Part:EXCELENTE
1057,4,6.5,6.2,5.8,6.3,23,SEM_2024-2,Quiz:OK;Trabalho:OK,Freq:95%|Part:BOM
1058,4,8.1,7.2,7.7,10,3,SEM_2023-1,Quiz:OK;Trabalho:OK;Projeto:OK,Freq:100%|Part:EXCELENTE
1059,4,9.3,7.4,6.9,6.9,9,SEM_2023-1,Quiz:OK;Trabalho:Pendente,Freq:95%|Part:BOM
1060,4,7.1,5.4,6.2,8.5,27,SEM_2023-2,Quiz:Pendente;Trabalho:Pendente,Freq:80%|Part:RUIM
1061,5,8,7.4,8.2,8.4,3,SEM_2025-2,Quiz:OK;Trabalho:OK,Freq:90%|Part:REGULAR
1062,5,7.5,8,5.2,7.2,16,SEM_2023-1,Quiz:Pendente;Trabalho:Pendente,Freq:100%|Part:EXCELENTE
1063,2,7.7,5.8,8.8,6,6,SEM_2024-1,Quiz:OK;Trabalho:Pendente,Freq:90%|Part:REGULAR
1064,1,8,6.5,7.6,9.8,17,SEM_2023-2,Quiz:Pendente;Trabalho:Pendente,Freq:95%|Part:BOM
1065,4,9.1,6.7,9.4,5.3,17,SEM_2023-1,Quiz:OK;Trabalho:Pendente,Freq:80%|Part:RUIM
1066,2,4.5,9.6,7.6,7.4,15,SEM_2023-1,Quiz:Pendente;Trabalho:Pendente,Freq:100%|Part:EXCELENTE
1067,1,8.6,7.5,5.2,6.1,28,SEM_2025-1,Quiz:OK;Trabalho:OK;Projeto:OK,Freq:95%|Part:BOM
1068,3,5.5,9.7,5.7,6.5,11,SEM_2025-2,Quiz:OK;Trabalho:OK,Freq:90%|Part:REGULAR
1069,5,5.2,7.3,9,9.1,29,SEM_2023-1,Quiz:OK;Trabalho:OK,Freq:100%|Part:EXCELENTE
1070,1,7.4,7,7.5,6.8,11,SEM_2023-2,Quiz:Pendente;Trabalho:Pendente,Freq:100%|Part:EXCELENTE
1071,3,4.6,4,7.2,5.4,15,SEM_2024-1,Quiz:OK;Trabalho:Pendente,Freq:80%|Part:RUIM
1072,1,9.3,6.9,6.6,6,24,SEM_2023-2,Quiz:Pendente;Trabalho:Pendente,Freq:80%|Part:RUIM
1073,5,7.8,9.6,6.4,9.3,15,SEM_2024-1,Quiz:OK;Trabalho:Pendente,Freq:100%|Part:EXCELENTE
1074,5,8.3,5.2,9.8,9.9,25,SEM_2024-1,Quiz:OK;Trabalho:Pendente,Freq:90%|Part:REGULAR
1075,2,4.1,4.3,7.2,6.3,4,SEM_2024-2,Quiz:OK;Trabalho:OK,Freq:95%|Part:BOM
1076,4,7.6,6.4,9.4,8.4,21,SEM_2023-2,Quiz:OK;Trabalho:OK,Freq:80%|Part:RUIM
1077,1,7.3,6.2,8.2,5.4,16,SEM_2024-2,Quiz:OK;Trabalho:Pendente,Freq:90%|Part:REGULAR
1078,1,5,9.1,9.3,8.6,29,SEM_2023-1,Quiz:OK;Trabalho:Pendente,Freq:90%|Part:REGULAR
1079,3,4.9,4.2,9.3,7.1,21,SEM_2024-2,Quiz:OK;Trabalho:Pendente,Freq:95%|Part:BOM
1080,5,8.2,9.5,9.8,9.6,19,SEM_2025-2,Quiz:Pendente;Trabalho:Pendente,Freq:90%|Part:REGULAR
1081,1,5.9,8.1,8.5,6.6,27,SEM_2023-2,Quiz:OK;Trabalho:Pendente,Freq:80%|Part:RUIM
1082,5,8.2,9.4,9,9.7,29,SEM_2023-1,Quiz:OK;Trabalho:OK,Freq:100%|Part:EXCELENTE
1083,1,7.3,7.6,8.7,7.5,7,SEM_2025-2,Quiz:OK;Trabalho:OK;Projeto:OK,Freq:100%|Part:EXCELENTE
1084,2,6.3,NA,8,6.7,28,SEM_2024-1,Quiz:OK;Trabalho:OK;Projeto:OK,Freq:95%|Part:BOM
1085,4,9.6,6,8.6,8.2,2,SEM_2024-2,Quiz:OK;Trabalho:OK;Projeto:OK,Freq:80%|Part:RUIM
1086,1,9.1,6.1,8.6,6.2,13,SEM_2025-1,Quiz:OK;Trabalho:OK,Freq:100%|Part:EXCELENTE
1087,5,6.1,6.3,5.2,NA,28,SEM_2023-1,Quiz:OK;Trabalho:Pendente,Freq:90%|Part:REGULAR
1088,2,4.3,8.5,7.6,6,28,SEM_2023-2,Quiz:Pendente;Trabalho:Pendente,Freq:100%|Part:EXCELENTE
1089,1,5.8,6.2,9,9.8,8,SEM_2024-2,Quiz:OK;Trabalho:OK,Freq:100%|Part:EXCELENTE
1090,3,6.4,5.5,6.2,7.5,28,SEM_2025-1,Quiz:OK;Trabalho:OK,Freq:95%|Part:BOM
1091,4,8.2,9.6,7.3,8.8,5,SEM_2024-1,Quiz:Pendente;Trabalho:Pendente,Freq:95%|Part:BOM
1092,1,10,9.4,7.2,7.4,25,SEM_2023-2,Quiz:OK;Trabalho:OK;Projeto:OK,Freq:95%|Part:BOM
1093,2,6.1,6.1,7,7.9,21,SEM_2023-1,Quiz:OK;Trabalho:OK,Freq:95%|Part:BOM
1094,3,8.6,7.8,5.6,7.9,24,SEM_2023-2,Quiz:OK;Trabalho:Pendente,Freq:90%|Part:REGULAR
1095,2,7.6,5.6,7.6,9.9,18,SEM_2023-2,Quiz:OK;Trabalho:Pendente,Freq:100%|Part:EXCELENTE
1096,2,8.2,5.2,7.2,8.3,4,SEM_2023-2,Quiz:OK;Trabalho:Pendente,Freq:80%|Part:RUIM
1097,3,4.9,6,8.3,6.2,17,SEM_2024-2,Quiz:OK;Trabalho:OK,Freq:100%|Part:EXCELENTE
1098,2,6.4,6,7.7,5.1,16,SEM_2025-2,Quiz:OK;Trabalho:OK;Projeto:OK,Freq:95%|Part:BOM
1099,3,5.4,9.3,5.1,6.1,3,SEM_2023-1,Quiz:OK;Trabalho:Pendente,Freq:100%|Part:EXCELENTE
1100,1,6.1,8.9,5.2,7.3,6,SEM_2024-1,Quiz:Pendente;Trabalho:Pendente,Freq:80%|Part:RUIM
1101,3,7.1,8.3,8.5,7,22,SEM_2023-2,Quiz:OK;Trabalho:OK;Projeto:OK,Freq:80%|Part:RUIM
1102,3,8,9.8,8.5,9.1,4,SEM_2025-1,Quiz:OK;Trabalho:OK,Freq:90%|Part:REGULAR
1103,4,4.6,6.5,9.8,8.9,30,SEM_2024-1,Quiz:OK;Trabalho:OK;Projeto:OK,Freq:95%|Part:BOM
1104,3,4.8,5.5,9.4,5.4,30,SEM_2023-2,Quiz:Pendente;Trabalho:Pendente,Freq:95%|Part:BOM
1105,3,5.9,4.7,7.3,9.8,13,SEM_2023-2,Quiz:OK;Trabalho:OK;Projeto:OK,Freq:80%|Part:RUIM
1106,1,8,5.8,8.1,7.6,29,SEM_2024-1,Quiz:OK;Trabalho:OK,Freq:90%|Part:REGULAR
1107,4,9.1,4.9,7.3,8,26,SEM_2023-1,Quiz:OK;Trabalho:OK,Freq:95%|Part:BOM
1108,5,7.3,4.6,6.1,7,28,SEM_2023-2,Quiz:OK;Trabalho:OK;Projeto:OK,Freq:80%|Part:RUIM
1109,1,9.1,7.6,6.9,8.2,30,SEM_2025-2,Quiz:OK;Trabalho:OK,Freq:100%|Part:EXCELENTE
1110,1,6.3,6.2,5.5,9.4,17,SEM_2024-2,Quiz:OK;Trabalho:OK,Freq:100%|Part:EXCELENTE
1111,5,5.9,7.4,8.3,8.4,13,SEM_2025-2,Quiz:Pendente;Trabalho:Pendente,Freq:90%|Part:REGULAR
1112,3,6.1,5.1,6,9.9,22,SEM_2024-2,Quiz:OK;Trabalho:OK,Freq:90%|Part:REGULAR
1113,2,5,8.1,7.4,8.5,14,SEM_2024-1,Quiz:OK;Trabalho:Pendente,Freq:80%|Part:RUIM
1114,4,9,5.3,9.8,9.1,27,SEM_2023-1,Quiz:OK;Trabalho:Pendente,Freq:95%|Part:BOM
1115,2,6,5.7,5.2,5.2,23,SEM_2025-1,Quiz:OK;Trabalho:OK;Projeto:OK,Freq:100%|Part:EXCELENTE
1116,5,7.3,8.5,5.8,8.4,20,SEM_2023-1,Quiz:OK;Trabalho:Pendente,Freq:95%|Part:BOM
1117,1,7.5,7.4,6.5,8.3,13,SEM_2023-2,Quiz:Pendente;Trabalho:Pendente,Freq:90%|Part:REGULAR
1118,1,7.1,6,9.7,5.5,13,SEM_2023-1,Quiz:OK;Trabalho:OK,Freq:100%|Part:EXCELENTE
1119,4,4,7.3,9.5,9.2,17,SEM_2025-1,Quiz:Pendente;Trabalho:Pendente,Freq:80%|Part:RUIM
1120,1,9.9,8.2,5.8,8.1,19,SEM_2025-2,Quiz:OK;Trabalho:OK;Projeto:OK,Freq:100%|Part:EXCELENTE
1121,1,9.4,9.5,9.9,5.5,24,SEM_2023-2,Quiz:OK;Trabalho:OK,Freq:95%|Part:BOM
1122,4,5.2,7.5,8.8,8,29,SEM_2024-1,Quiz:OK;Trabalho:Pendente,Freq:100%|Part:EXCELENTE
1123,4,5.8,5.4,7.7,7.4,11,SEM_2024-1,Quiz:Pendente;Trabalho:Pendente,Freq:95%|Part:BOM
1124,5,7.1,8.5,9.7,6.2,4,SEM_2025-2,Quiz:OK;Trabalho:OK;Projeto:OK,Freq:90%|Part:REGULAR
1125,1,9.4,8.7,9.4,5.1,10,SEM_2024-2,Quiz:OK;Trabalho:Pendente,Freq:80%|Part:RUIM
1126,1,9.9,5.2,7,6.8,22,SEM_2025-1,Quiz:Pendente;Trabalho:Pendente,Freq:80%|Part:RUIM
1127,5,5.5,8.9,8.3,8.1,18,SEM_2025-2,Quiz:Pendente;Trabalho:Pendente,Freq:90%|Part:REGULAR
1128,3,7.4,6.8,8.2,6.6,3,SEM_2024-2,Quiz:Pendente;Trabalho:Pendente,Freq:95%|Part:BOM
1129,3,8.8,8.7,6.6,6.5,6,SEM_2023-1,Quiz:OK;Trabalho:OK,Freq:80%|Part:RUIM
1130,3,6.4,5.4,5.9,8.8,30,SEM_2023-1,Quiz:OK;Trabalho:Pendente,Freq:80%|Part:RUIM
1131,5,8.4,6,7.3,8.8,12,SEM_2024-1,Quiz:Pendente;Trabalho:Pendente,Freq:90%|Part:REGULAR
1132,1,5,9.7,6.3,8.6,22,SEM_2023-2,Quiz:OK;Trabalho:OK;Projeto:OK,Freq:80%|Part:RUIM
1133,5,7.6,7.9,6.8,5.5,6,SEM_2024-1,Quiz:OK;Trabalho:OK;Projeto:OK,Freq:90%|Part:REGULAR
1134,5,9.2,8.6,9.8,7.6,3,SEM_2025-1,Quiz:Pendente;Trabalho:Pendente,Freq:90%|Part:REGULAR
1135,3,9.9,8.1,7.3,7.8,19,SEM_2024-2,Quiz:Pendente;Trabalho:Pendente,Freq:100%|Part:EXCELENTE
1136,2,4.5,5.2,8.4,8.7,27,SEM_2024-1,Quiz:OK;Trabalho:Pendente,Freq:80%|Part:RUIM
1137,1,6.6,6.8,6.7,9.5,6,SEM_2024-2,Quiz:OK;Trabalho:OK;Projeto:OK,Freq:95%|Part:BOM
1138,3,5.2,8.9,10,6.8,28,SEM_2024-2,Quiz:Pendente;Trabalho:Pendente,Freq:90%|Part:REGULAR
1139,2,6.7,8.1,8.3,7.1,11,SEM_2024-2,Quiz:OK;Trabalho:OK;Projeto:OK,Freq:80%|Part:RUIM
1140,2,7.3,4,6,NA,8,SEM_2025-1,Quiz:Pendente;Trabalho:Pendente,Freq:95%|Part:BOM
1141,4,4.6,4.5,5.5,8.3,14,SEM_2024-1,Quiz:OK;Trabalho:OK,Freq:95%|Part:BOM
1142,1,5.8,6.1,9.7,7.8,3,SEM_2025-2,Quiz:OK;Trabalho:OK;Projeto:OK,Freq:95%|Part:BOM
1143,2,9.6,9.7,9.7,6.8,24,SEM_2024-1,Quiz:Pendente;Trabalho:Pendente,Freq:90%|Part:REGULAR
1144,3,7.4,6.9,8.1,6,9,SEM_2024-2,Quiz:OK;Trabalho:OK;Projeto:OK,Freq:90%|Part:REGULAR
1145,4,6.7,5.6,5.1,5.9,4,SEM_2025-1,Quiz:OK;Trabalho:OK;Projeto:OK,Freq:95%|Part:BOM
1146,1,8.5,6.2,6.1,5.4,22,SEM_2024-2,Quiz:OK;Trabalho:OK;Projeto:OK,Freq:90%|Part:REGULAR
1147,5,8.5,5.3,9,5.4,11,SEM_2024-2,Quiz:OK;Trabalho:OK;Projeto:OK,Freq:80%|Part:RUIM
1148,3,4.3,6.5,9.4,9.2,4,SEM_2023-1,Quiz:Pendente;Trabalho:Pendente,Freq:95%|Part:BOM
1149,2,8.3,5.3,7.3,6.9,16,SEM_2023-1,Quiz:OK;Trabalho:OK,Freq:100%|Part:EXCELENTE
1150,2,9,9.1,6.8,5.3,11,SEM_2024-2,Quiz:OK;Trabalho:OK;Projeto:OK,Freq:100%|Part:EXCELENTE
1151,3,5,6.7,6.4,9.5,16,SEM_2024-1,Quiz:Pendente;Trabalho:Pendente,Freq:80%|Part:RUIM
1152,2,8.7,5.7,5.6,6.1,10,SEM_2023-1,Quiz:OK;Trabalho:OK,Freq:80%|Part:RUIM
1153,4,5.7,9.6,5.6,6.3,22,SEM_2025-2,Quiz:Pendente;Trabalho:Pendente,Freq:95%|Part:BOM
1154,1,5.8,5.9,9.8,6,17,SEM_2023-2,Quiz:OK;Trabalho:Pendente,Freq:95%|Part:BOM
1155,4,8,9.5,9,9.8,25,SEM_2024-2,Quiz:Pendente;Trabalho:Pendente,Freq:80%|Part:RUIM
1156,2,4.7,4.3,5.8,5.6,21,SEM_2024-2,Quiz:OK;Trabalho:OK,Freq:80%|Part:RUIM
1157,5,8,8.2,6,8.6,14,SEM_2024-2,Quiz:OK;Trabalho:OK,Freq:90%|Part:REGULAR
1158,1,9.3,6.9,8.3,9.7,2,SEM_2024-1,Quiz:Pendente;Trabalho:Pendente,Freq:100%|Part:EXCELENTE
1159,1,8.2,6.7,8.8,8.3,5,SEM_2025-2,Quiz:OK;Trabalho:OK;Projeto:OK,Freq:95%|Part:BOM
1160,3,6.6,4.2,9.1,9.3,29,SEM_2025-1,Quiz:OK;Trabalho:OK;Projeto:OK,Freq:90%|Part:REGULAR
1161,3,6.6,4.2,5.8,6.2,8,SEM_2024-1,Quiz:OK;Trabalho:Pendente,Freq:90%|Part:REGULAR
1162,5,8.6,6,9.9,8.4,25,SEM_2023-1,Quiz:Pendente;Trabalho:Pendente,Freq:80%|Part:RUIM
1163,1,7.4,9.7,6.1,8.5,19,SEM_2024-2,Quiz:OK;Trabalho:OK,Freq:95%|Part:BOM
1164,5,4.5,7.7,7.9,7.3,5,SEM_2023-2,Quiz:OK;Trabalho:Pendente,Freq:90%|Part:REGULAR
1165,3,7.5,6.2,7.9,9.4,22,SEM_2024-2,Quiz:Pendente;Trabalho:Pendente,Freq:80%|Part:RUIM
1166,3,8.9,7.7,9.8,8.5,8,SEM_2023-1,Quiz:OK;Trabalho:OK;Projeto:OK,Freq:80%|Part:RUIM
1167,1,6,5.2,8.3,9.5,28,SEM_2023-2,Quiz:OK;Trabalho:OK;Projeto:OK,Freq:90%|Part:REGULAR
1168,4,9.6,5,7.9,8.8,18,SEM_2023-1,Quiz:Pendente;Trabalho:Pendente,Freq:100%|Part:EXCELENTE
1169,2,8.5,6.2,7.6,7.6,27,SEM_2025-2,Quiz:OK;Trabalho:Pendente,Freq:80%|Part:RUIM
1170,3,7.4,9.2,8.8,7.5,20,SEM_2024-2,Quiz:OK;Trabalho:Pendente,Freq:90%|Part:REGULAR
1171,3,8.5,7.1,5.5,7.3,15,SEM_2024-1,Quiz:Pendente;Trabalho:Pendente,Freq:80%|Part:RUIM
1172,4,4.5,5.8,5,5.1,24,SEM_2024-2,Quiz:OK;Trabalho:OK,Freq:90%|Part:REGULAR
1173,4,9.2,9.7,9.8,7.7,21,SEM_2023-2,Quiz:OK;Trabalho:OK;Projeto:OK,Freq:80%|Part:RUIM
1174,5,8.9,8.9,7.5,7.1,9,SEM_2023-1,Quiz:Pendente;Trabalho:Pendente,Freq:80%|Part:RUIM
1175,5,9.5,5.9,6.6,5.8,11,SEM_2025-1,Quiz:OK;Trabalho:OK;Projeto:OK,Freq:95%|Part:BOM
1176,2,4.8,NA,6.8,5.6,27,SEM_2024-1,Quiz:OK;Trabalho:OK;Projeto:OK,Freq:90%|Part:REGULAR
1177,2,4.5,9.9,9,7.2,8,SEM_2024-2,Quiz:OK;Trabalho:OK;Projeto:OK,Freq:95%|Part:BOM
1178,1,4.8,6.5,6.9,5.2,2,SEM_2025-2,Quiz:OK;Trabalho:OK,Freq:100%|Part:EXCELENTE
1179,5,6.4,7.9,8.9,9.9,10,SEM_2025-1,Quiz:OK;Trabalho:Pendente,Freq:100%|Part:EXCELENTE
1180,3,6.5,6.4,7.2,6.9,3,SEM_2023-2,Quiz:OK;Trabalho:Pendente,Freq:90%|Part:REGULAR
1181,5,7.4,5.5,9.2,6.9,27,SEM_2025-1,Quiz:OK;Trabalho:Pendente,Freq:95%|Part:BOM
1182,3,4.7,4.5,5.4,5.3,29,SEM_2024-2,Quiz:OK;Trabalho:OK;Projeto:OK,Freq:100%|Part:EXCELENTE
1183,4,5.2,5.6,7.4,7.1,5,SEM_2023-1,Quiz:OK;Trabalho:OK,Freq:100%|Part:EXCELENTE
1184,5,8.9,5.6,7.3,5.1,8,SEM_2025-1,Quiz:OK;Trabalho:OK,Freq:100%|Part:EXCELENTE
1185,4,6.8,6.4,6.3,5.2,6,SEM_2025-2,Quiz:Pendente;Trabalho:Pendente,Freq:95%|Part:BOM
1186,2,8.8,NA,9.7,6.7,23,SEM_2024-2,Quiz:Pendente;Trabalho:Pendente,Freq:95%|Part:BOM
1187,2,4,9.7,9.5,9.1,3,SEM_2025-2,Quiz:Pendente;Trabalho:Pendente,Freq:95%|Part:BOM
1188,1,7.3,4.6,7.2,7.3,17,SEM_2023-1,Quiz:OK;Trabalho:OK,Freq:95%|Part:BOM
1189,5,9.6,7.8,5.5,5.1,15,SEM_2023-1,Quiz:Pendente;Trabalho:Pendente,Freq:80%|Part:RUIM
1190,4,7.5,6.7,6,5.8,29,SEM_2023-1,Quiz:OK;Trabalho:OK,Freq:95%|Part:BOM
1191,3,5.2,6.5,6.4,8.7,10,SEM_2024-2,Quiz:OK;Trabalho:Pendente,Freq:100%|Part:EXCELENTE
1192,2,8.3,6.2,7.4,8.7,7,SEM_2023-1,Quiz:Pendente;Trabalho:Pendente,Freq:90%|Part:REGULAR
1193,2,6.3,9.2,6.7,8.8,14,SEM_2025-2,Quiz:OK;Trabalho:OK,Freq:95%|Part:BOM
1194,3,8,5.7,8.9,6.8,17,SEM_2024-2,Quiz:OK;Trabalho:Pendente,Freq:80%|Part:RUIM
1195,4,4.2,4.1,7.4,6.8,24,SEM_2025-1,Quiz:OK;Trabalho:OK,Freq:90%|Part:REGULAR
1196,4,7.8,9.5,9.4,9,20,SEM_2023-1,Quiz:OK;Trabalho:OK;Projeto:OK,Freq:100%|Part:EXCELENTE
1197,5,4.2,9.2,10,7,6,SEM_2023-1,Quiz:OK;Trabalho:Pendente,Freq:80%|Part:RUIM
1198,5,8.5,5.7,6.1,8.6,24,SEM_2023-2,Quiz:OK;Trabalho:OK,Freq:95%|Part:BOM
1199,1,6.8,7.1,8.1,7.9,10,SEM_2023-1,Quiz:OK;Trabalho:OK;Projeto:OK,Freq:100%|Part:EXCELENTE
1200,2,4.7,4.7,9.2,6.8,3,SEM_2023-1,Quiz:OK;Trabalho:Pendente,Freq:100%|Part:EXCELENTE
1201,5,7.3,4.6,9.7,5.4,25,SEM_2024-1,Quiz:Pendente;Trabalho:Pendente,Freq:100%|Part:EXCELENTE
1202,4,4.4,9,6.5,5.6,28,SEM_2025-2,Quiz:OK;Trabalho:Pendente,Freq:80%|Part:RUIM
1203,3,7.9,6.5,8.6,9.4,6,SEM_2025-1,Quiz:OK;Trabalho:OK,Freq:95%|Part:BOM
1204,4,10,8,5.1,NA,13,SEM_2025-1,Quiz:OK;Trabalho:Pendente,Freq:90%|Part:REGULAR
1205,2,8.6,9.7,9.4,10,11,SEM_2023-1,Quiz:Pendente;Trabalho:Pendente,Freq:95%|Part:BOM
1206,4,7.4,5.5,5.3,6.8,11,SEM_2023-2,Quiz:OK;Trabalho:OK,Freq:90%|Part:REGULAR
